image_id,angle,speed
1,0.456339,1.1182374
10,0.47548681,0.94885373
100,0.558427,1.0733782
101,0.246721,1.0943315
102,0.50361025,1.0856122
103,0.3655228,0.9813737
104,0.29291216,1.0539356
105,0.6074258,0.8397397
106,0.4654475,1.0450333
107,0.5735242,0.90581715
108,0.4659975,1.2193036
109,0.35668498,0.94426095
11,0.27896392,1.126213
110,0.3162907,1.2192163
111,0.42799336,0.8499192
112,0.3828254,1.0376844
113,0.6387643,0.8991864
114,0.43643492,1.0008495
115,0.61001927,1.1297417
116,0.30628765,1.2299159
117,0.4475437,1.1616877
118,0.45935997,0.96950877
119,0.4796299,0.86753386
12,0.6141406,0.9291501
120,0.537403,1.1481658
121,0.42606068,1.1772481
122,0.50999266,1.0501835
123,0.5339781,1.1339486
124,0.5125047,0.9807705
125,0.60593903,0.8404084
126,0.45146832,1.0656763
127,0.594017,1.2099301
128,0.38015866,0.96812785
129,0.3119289,1.0892256
13,0.2626644,1.0667596
130,0.25006998,0.7707104
131,0.51596564,1.0318912
132,0.36623615,0.86643326
133,0.2684275,0.90241563
134,0.5343468,0.75954294
135,0.5906729,1.0781848
136,0.4924242,0.9871166
137,0.39616942,1.1639781
138,0.47451457,1.0754386
139,0.5123694,1.1064198
14,0.27701774,1.0830495
140,0.47601905,0.79185325
141,0.31852415,1.2536591
142,0.48439744,0.9978498
143,0.44430998,1.2416123
144,0.6427114,0.98403794
145,0.35400543,1.158761
146,0.57015467,0.9434526
147,0.2942001,1.1136017
148,0.614851,1.1478354
149,0.44110927,0.96844274
15,0.4388319,1.080894
150,0.37760225,1.167809
151,0.4930558,1.0186405
152,0.5768342,0.7320701
153,0.61771566,0.9810847
154,0.43544468,0.909167
155,0.39088994,1.1056883
156,0.5538502,0.9447478
157,0.53561676,1.0845084
158,0.47987446,1.023626
159,0.53450185,1.0455412
16,0.45349547,1.035336
160,0.37139997,1.0413162
161,0.4953446,1.0429958
162,0.52555776,0.877152
163,0.45732507,1.1560988
164,0.36293334,1.0179424
165,0.5111412,1.0109123
166,0.42290756,1.2130058
167,0.502166,1.0230199
168,0.5383801,1.2363106
169,0.4674813,0.95337224
17,0.3990219,1.0935345
170,0.4421492,1.0678133
171,0.18788703,0.77821445
172,0.37055668,0.97040594
173,0.4287497,1.0365251
174,0.6542148,1.0194098
175,0.5928981,1.067142
176,0.46997777,0.91882944
177,0.59523565,0.88048685
178,0.267238,0.89794135
179,0.3687255,0.9708178
18,0.45546114,0.98023003
180,0.42162603,1.1363239
181,0.56120014,1.0314981
182,0.6430535,1.0702503
183,0.47103137,0.88776034
184,0.44716653,0.8739164
185,0.6542823,0.9835401
186,0.40841606,1.2084854
187,0.3578569,1.0711476
188,0.28372526,1.0510412
189,0.34595403,0.9936104
19,0.49802274,0.9636622
190,0.5974154,1.022429
191,0.43681616,0.82135314
192,0.23571208,1.144612
193,0.53258145,0.772762
194,0.48260573,0.90432996
195,0.52996963,1.1338571
196,0.46275458,1.0061707
197,0.54473495,0.98633814
198,0.44426638,0.9850254
199,0.33555248,1.1753504
